Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch)
Psion Organiser II LZ 64,1/01/1989,1989,1,0,0,0,0.050359712,0,0,0.369713506,0.118852459,0.146889031,0.059332377,0.044181034,0
Hewlett-Packard 95LX (HP Jaguar),1/04/1991,1991,2,0.00021363,1.54E-05,0.002230017,0.223021583,0.056910569,0.047619048,0.416098226,0.147540984,0.127645927,0.065798771,0.05387931,0.030792529
Psion Series 3,1/06/1991,1991,3,9.16E-05,1.54E-05,0.001894864,0.18705036,0.056910569,0.023809524,0.432469304,0.147540984,0.101988454,0.056634477,0.044181034,0.035335689
Hewlett-Packard 95LX 1MB RAM (HP Jaguar),1/01/1992,1992,4,0.000457778,1.54E-05,0.002230017,0.223021583,0.056910569,0.047619048,0.416098226,0.147540984,0.127645927,0.065798771,0.05387931,0.030792529
Psion Series 3a,1/03/1993,1993,5,0.00021363,1.54E-05,0.003385544,0.258992806,0.154471545,0.063492063,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207,0.129984856
Hewlett-Packard 1000CX,1/05/1993,1993,6,0.000457778,1.54E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421
Hewlett-Packard 100LX (HP Cougar),1/05/1993,1993,7,0.000457778,1.54E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421
Apple Newton H1000 (Apple OMP),1/08/1993,1994,8,0.000274667,6.45E-05,0.009548354,0.251798561,0.056910569,0.150793651,0.294133697,0.554098361,0.083386786,0.076654605,0.075431034,0.08859162
Apple Newton MessagePad 100,1/08/1993,1994,9,0.000274667,6.45E-05,0.009548354,0.251798561,0.056910569,0.150793651,0.294133697,0.554098361,0.083386786,0.076654605,0.075431034,0.08859162
Hewlett-Packard 1000CX 2MB RAM,1/01/1994,1994,10,0.000946074,1.54E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421
Hewlett-Packard 100LX 2MB RAM (HP Cougar),1/02/1994,1994,11,0.000946074,1.54E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421
Apple Newton MessagePad 110 (Apple Lindy),1/03/1994,1994,12,0.000457778,6.45E-05,0.009548354,0.201438849,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.112198276,0.110802625
Apple Newton MessagePad 120,1/10/1994,1995,13,0.000946074,6.45E-05,0.009548354,0.215827338,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.084825431,0.101716305
Hewlett-Packard OmniGo 100,1/10/1995,1996,14,0.000457778,4.81E-05,0.007547442,0.143884892,0.056910569,0.103174603,0.396998636,0.18852459,0.108402822,0.061666274,0.057974138,0.116860172
Apple Newton MessagePad 120 8MB,1/11/1995,1996,15,0.000946074,0.000130058,0.009548354,0.215827338,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.084825431,0.101716305
Hewlett-Packard 200LX (HP Felix),1/01/1996,1996,16,0.000946074,4.81E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.054310345,0.224886421
Hewlett-Packard OmniGo 700LX Communicator Plus,1/02/1996,1996,17,0.000946074,4.81E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.492496589,0.155737705,0.326491341,0.189109907,0.07262931,0.224886421
Apple Newton MessagePad 130,1/03/1996,1996,18,0.001190222,0.000130058,0.009548354,0.215827338,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.090517241,0.101716305
U.S. Robotics Palm Pilot 1000,1/06/1996,1996,19,3.05E-05,7.17E-06,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285
U.S. Robotics Palm Pilot 5000,1/06/1996,1996,20,0.00021363,7.17E-06,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285
